"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 31, 2021","2,971.70","2,912.20","3,011.70","2,859.30","1.42K","2.00%"
"Jul 30, 2021","2,913.30","2,898.70","2,942.80","2,767.40","1.85K","0.49%"
"Jul 29, 2021","2,899.10","2,656.60","2,899.10","2,606.70","2.27K","9.25%"
"Jul 28, 2021","2,653.60","2,690.70","2,725.20","2,614.80","1.49K","-1.36%"
"Jul 27, 2021","2,690.10","2,592.90","2,723.80","2,506.50","1.72K","3.70%"
"Jul 26, 2021","2,594.00","2,568.10","2,842.70","2,550.00","3.78K","0.92%"
"Jul 25, 2021","2,570.40","2,494.70","2,593.80","2,460.30","1.51K","1.09%"
"Jul 24, 2021","2,542.70","2,519.50","2,555.60","2,494.90","1.87K","1.21%"
"Jul 23, 2021","2,512.30","2,438.00","2,535.10","2,400.80","2.17K","3.04%"
"Jul 22, 2021","2,438.10","2,441.90","2,474.70","2,382.30","1.95K","-0.01%"
"Jul 21, 2021","2,438.40","2,186.40","2,482.30","2,151.10","2.96K","11.52%"
"Jul 20, 2021","2,186.50","2,294.10","2,328.50","2,116.60","1.95K","-4.50%"
"Jul 19, 2021","2,289.50","2,467.70","2,478.90","2,275.40","1.82K","-7.19%"
"Jul 18, 2021","2,467.00","2,425.70","2,545.60","2,407.60","1.37K","1.84%"
"Jul 17, 2021","2,422.40","2,419.20","2,461.80","2,380.60","1.50K","0.17%"
"Jul 16, 2021","2,418.40","2,569.70","2,612.00","2,409.90","2.17K","-5.66%"
"Jul 15, 2021","2,563.40","2,514.70","2,629.60","2,451.60","5.05K","1.95%"
"Jul 14, 2021","2,514.30","2,524.20","2,577.50","2,402.60","1.85K","-0.38%"
"Jul 13, 2021","2,523.80","2,600.80","2,642.20","2,503.90","1.52K","-3.05%"
"Jul 12, 2021","2,603.30","2,667.10","2,735.40","2,570.00","2.05K","-2.37%"
"Jul 11, 2021","2,666.50","2,675.70","2,718.20","2,614.20","1.49K","-0.33%"
"Jul 10, 2021","2,675.30","2,708.20","2,775.60","2,607.80","1.40K","-1.18%"
"Jul 09, 2021","2,707.30","2,650.30","2,821.10","2,558.40","2.83K","1.76%"
"Jul 08, 2021","2,660.50","2,867.10","2,869.30","2,597.30","3.41K","-7.14%"
"Jul 07, 2021","2,865.20","2,741.50","2,940.60","2,741.50","4.66K","-4.27%"
"Jul 06, 2021","2,992.90","2,748.70","3,102.80","2,748.70","4.42K","8.91%"
"Jul 05, 2021","2,748.00","2,799.40","2,811.70","2,698.70","2.91K","-1.88%"
"Jul 04, 2021","2,800.60","2,779.70","2,867.90","2,779.70","2.64K","5.98%"
"Jul 03, 2021","2,642.60","2,580.10","2,681.20","2,564.20","1.92K","2.35%"
"Jul 02, 2021","2,581.80","2,506.00","2,581.80","2,467.60","2.32K","3.09%"
"Jul 01, 2021","2,504.40","2,681.60","2,751.90","2,504.40","7.32K","-6.44%"
"Jun 30, 2021","2,676.90","2,427.00","2,676.90","2,318.10","3.35K","10.88%"
"Jun 29, 2021","2,414.20","2,215.50","2,461.70","2,215.50","3.19K","9.10%"
"Jun 28, 2021","2,212.80","2,138.30","2,248.80","2,098.00","3.03K","3.92%"
"Jun 27, 2021","2,129.40","2,009.00","2,129.40","1,967.40","2.08K","6.02%"
"Jun 26, 2021","2,008.50","1,964.90","2,008.50","1,908.70","2.95K","1.85%"
"Jun 25, 2021","1,972.10","2,240.10","2,267.10","1,965.10","3.62K","-11.92%"
"Jun 24, 2021","2,239.10","2,316.20","2,316.20","2,161.10","4.30K","-3.29%"
"Jun 23, 2021","2,315.20","2,264.60","2,419.50","2,264.60","3.31K","2.38%"
"Jun 22, 2021","2,261.30","2,098.40","2,372.00","1,958.90","6.22K","7.55%"
"Jun 21, 2021","2,102.60","2,702.60","2,702.60","2,102.60","3.53K","-22.15%"
"Jun 20, 2021","2,701.00","2,578.10","2,726.90","2,483.60","1.50K","4.69%"
"Jun 19, 2021","2,580.10","2,688.70","2,688.70","2,580.10","1.45K","-3.92%"
"Jun 18, 2021","2,685.30","2,910.60","2,910.60","2,679.00","2.31K","-7.66%"
"Jun 17, 2021","2,907.90","2,944.80","3,061.90","2,882.50","1.37K","-1.26%"
"Jun 16, 2021","2,944.90","3,151.70","3,151.70","2,944.90","1.43K","-6.64%"
"Jun 15, 2021","3,154.30","3,198.10","3,262.70","3,136.70","1.26K","-1.38%"
"Jun 14, 2021","3,198.40","3,145.80","3,215.30","3,134.50","1.44K","1.72%"
"Jun 13, 2021","3,144.20","2,934.80","3,170.60","2,910.20","1.26K","7.18%"
"Jun 12, 2021","2,933.60","2,928.80","3,009.90","2,842.50","1.48K","0.24%"
"Jun 11, 2021","2,926.50","3,111.90","3,111.90","2,914.30","1.54K","-5.89%"
"Jun 10, 2021","3,109.70","3,331.30","3,331.30","3,093.50","1.93K","-6.63%"
"Jun 09, 2021","3,330.40","3,239.30","3,335.10","3,114.70","2.85K","2.65%"
"Jun 08, 2021","3,244.50","3,308.50","3,333.50","3,045.40","4.95K","-1.95%"
"Jun 07, 2021","3,309.00","3,617.40","3,763.70","3,309.00","3.19K","-8.43%"
"Jun 06, 2021","3,613.80","3,554.90","3,613.80","3,554.90","1.39K","1.48%"
"Jun 05, 2021","3,561.20","3,730.70","3,882.40","3,518.70","3.36K","-4.46%"
"Jun 04, 2021","3,727.60","3,655.80","3,932.90","3,565.60","8.01K","1.89%"
"Jun 03, 2021","3,658.30","3,556.90","3,659.40","3,542.90","3.10K","2.72%"
"Jun 02, 2021","3,561.60","3,602.70","3,712.30","3,514.20","2.46K","-0.92%"
"Jun 01, 2021","3,594.70","3,581.10","3,594.70","3,554.70","3.69K","-0.07%"
