,Date,Price,Open,High,Low,Vol.,Change %,Vol
255,"Jul 20, 2021",2186.50,"2,294.10","2,328.50","2,116.60",,-4.50%,1.95K
256,"Jul 19, 2021",2289.50,"2,467.70","2,478.90","2,275.40",,-7.19%,1.82K
257,"Jul 18, 2021",2467.00,"2,425.70","2,545.60","2,407.60",,1.84%,1.37K
258,"Jul 17, 2021",2422.40,"2,419.20","2,461.80","2,380.60",,0.17%,1.50K
259,"Jul 16, 2021",2418.40,"2,569.70","2,612.00","2,409.90",,-5.66%,2.17K
260,"Jul 15, 2021",2563.40,"2,514.70","2,629.60","2,451.60",,1.95%,5.05K
261,"Jul 14, 2021",2514.30,"2,524.20","2,577.50","2,402.60",,-0.38%,1.85K
262,"Jul 13, 2021",2523.80,"2,600.80","2,642.20","2,503.90",,-3.05%,1.52K
263,"Jul 12, 2021",2603.30,"2,667.10","2,735.40","2,570.00",,-2.37%,2.05K
264,"Jul 11, 2021",2666.50,"2,675.70","2,718.20","2,614.20",,-0.33%,1.49K
265,"Jul 10, 2021",2675.30,"2,708.20","2,775.60","2,607.80",,-1.18%,1.40K
266,"Jul 09, 2021",2707.30,"2,650.30","2,821.10","2,558.40",,1.76%,2.83K
267,"Jul 08, 2021",2660.50,"2,867.10","2,869.30","2,597.30",,-7.14%,3.41K
268,"Jul 07, 2021",2865.20,"2,741.50","2,940.60","2,741.50",,-4.27%,4.66K
269,"Jul 06, 2021",2992.90,"2,748.70","3,102.80","2,748.70",,8.91%,4.42K
270,"Jul 05, 2021",2748.00,"2,799.40","2,811.70","2,698.70",,-1.88%,2.91K
271,"Jul 04, 2021",2800.60,"2,779.70","2,867.90","2,779.70",,5.98%,2.64K
272,"Jul 03, 2021",2642.60,"2,580.10","2,681.20","2,564.20",,2.35%,1.92K
273,"Jul 02, 2021",2581.80,"2,506.00","2,581.80","2,467.60",,3.09%,2.32K
274,"Jul 01, 2021",2504.40,"2,681.60","2,751.90","2,504.40",,-6.44%,7.32K
275,"Jun 30, 2021",2676.90,"2,427.00","2,676.90","2,318.10",,10.88%,3.35K
276,"Jun 29, 2021",2414.20,"2,215.50","2,461.70","2,215.50",,9.10%,3.19K
277,"Jun 28, 2021",2212.80,"2,138.30","2,248.80","2,098.00",,3.92%,3.03K
278,"Jun 27, 2021",2129.40,"2,009.00","2,129.40","1,967.40",,6.02%,2.08K
279,"Jun 26, 2021",2008.50,"1,964.90","2,008.50","1,908.70",,1.85%,2.95K
280,"Jun 25, 2021",1972.10,"2,240.10","2,267.10","1,965.10",,-11.92%,3.62K
281,"Jun 24, 2021",2239.10,"2,316.20","2,316.20","2,161.10",,-3.29%,4.30K
282,"Jun 23, 2021",2315.20,"2,264.60","2,419.50","2,264.60",,2.38%,3.31K
283,"Jun 22, 2021",2261.30,"2,098.40","2,372.00","1,958.90",,7.55%,6.22K
