,Date,Price,Open,High,Low,Vol.,Change %,Vol
287,"Jun 19, 2021",19.7830,20.3570,20.7130,19.7830,,-2.81%,1.74M
288,"Jun 18, 2021",20.3540,22.1370,22.1640,19.9570,,-8.19%,2.19M
289,"Jun 17, 2021",22.1690,21.8250,22.7830,21.6380,,1.64%,1.44M
290,"Jun 16, 2021",21.8110,23.4170,23.4170,21.8110,,-6.95%,1.69M
291,"Jun 15, 2021",23.4390,24.1950,24.3590,23.3790,,-2.96%,1.51M
292,"Jun 14, 2021",24.1550,23.2910,24.1550,22.8220,,3.83%,2.21M
293,"Jun 13, 2021",23.2640,21.2880,23.3670,20.7040,,9.49%,2.28M
294,"Jun 12, 2021",21.2480,21.7940,21.7940,20.5880,,-2.76%,2.20M
295,"Jun 11, 2021",21.8500,23.5810,23.5810,21.5500,,-7.26%,2.60M
296,"Jun 10, 2021",23.5600,25.1370,25.1370,23.5270,,-6.15%,2.53M
297,"Jun 09, 2021",25.1050,23.4070,25.1050,22.5140,,7.15%,4.57M
298,"Jun 08, 2021",23.4290,24.2590,24.2590,21.5060,,-3.23%,4.14M
299,"Jun 07, 2021",24.2120,25.8560,27.2040,24.2120,,-6.34%,3.84M
300,"Jun 06, 2021",25.8500,25.5910,26.1590,25.5910,,0.92%,1.97M
301,"Jun 05, 2021",25.6140,26.5290,27.5690,25.3980,,-3.05%,2.68M
302,"Jun 04, 2021",26.4200,28.6160,28.6160,25.5930,,-7.83%,4.00M
303,"Jun 03, 2021",28.6640,27.5370,28.8600,27.2360,,3.76%,3.67M
304,"Jun 02, 2021",27.6260,27.4430,28.4380,26.5980,,0.78%,3.74M
305,"Jun 01, 2021",27.4130,28.1750,28.4890,26.5330,,-3.25%,5.25M
306,"May 31, 2021",28.3350,25.5300,28.3350,23.9530,,10.06%,7.52M
307,"May 30, 2021",25.7440,23.1730,26.0380,22.0100,,11.12%,5.66M
308,"May 29, 2021",23.1680,25.8880,27.0830,22.2110,,-10.49%,5.97M
309,"May 28, 2021",25.8840,28.3900,28.3900,25.4450,,-9.00%,7.73M
310,"May 27, 2021",28.4430,29.3440,29.4700,26.4830,,-3.22%,6.28M
311,"May 26, 2021",29.3890,25.2140,29.3890,25.2140,,16.92%,6.64M
312,"May 25, 2021",25.1360,24.6060,25.4180,22.3800,,2.15%,10.31M
313,"May 24, 2021",24.6070,16.8110,24.7010,16.8110,,47.46%,11.14M
314,"May 23, 2021",16.6870,20.3470,20.7800,14.2330,,-18.04%,11.48M
315,"May 22, 2021",20.3600,21.8730,22.2290,19.2690,,-7.05%,5.22M
316,"May 21, 2021",21.9040,26.3290,27.9170,20.5480,,-16.73%,7.11M
317,"May 20, 2021",26.3060,23.4000,27.9620,21.9120,,13.42%,7.41M
318,"May 19, 2021",23.1940,35.0530,35.0530,20.9860,,-33.80%,13.26M
319,"May 18, 2021",35.0370,33.2320,36.2370,33.2320,,5.22%,3.74M
320,"May 17, 2021",33.2980,36.5360,36.5360,32.4220,,-8.98%,3.94M
321,"May 16, 2021",36.5820,36.5830,39.0990,34.7090,,-0.02%,2.89M
322,"May 15, 2021",36.5910,40.3950,41.8430,36.5910,,-9.44%,3.45M
323,"May 14, 2021",40.4070,37.3570,40.4440,37.3570,,8.33%,2.69M
324,"May 13, 2021",37.3010,37.0180,39.8580,36.5580,,3.90%,5.55M
325,"May 12, 2021",35.9000,38.5000,43.6780,35.9000,,-6.81%,8.22M
326,"May 11, 2021",38.5230,36.2970,38.5230,35.6500,,5.90%,2.72M
327,"May 10, 2021",36.3780,39.4830,40.8180,35.5390,,-7.69%,4.24M
328,"May 09, 2021",39.4100,40.4980,40.4980,38.7250,,-2.50%,2.58M
329,"May 08, 2021",40.4190,39.6210,40.9490,39.5730,,1.68%,2.97M
330,"May 07, 2021",39.7530,40.3630,40.6550,38.5360,,-1.17%,4.06M
331,"May 06, 2021",40.2240,42.4370,42.4370,40.2240,,-5.22%,4.99M
332,"May 05, 2021",42.4410,43.3940,44.0610,41.8690,,-0.52%,6.73M
333,"May 04, 2021",42.6620,42.3090,43.1110,40.2460,,0.94%,7.06M
