,Date,Price,Open,High,Low,Vol.,Change %,Vol
246,"Jul 30, 2021",403.89,397.56,410.94,382.00,,1.75%,58.14K
247,"Jul 29, 2021",396.94,388.31,401.49,378.91,,2.37%,46.48K
248,"Jul 28, 2021",387.75,392.64,400.00,380.95,,-1.27%,49.48K
249,"Jul 27, 2021",392.75,391.54,407.62,376.25,,0.11%,85.63K
250,"Jul 26, 2021",392.33,391.35,438.13,385.29,,0.31%,131.49K
251,"Jul 25, 2021",391.11,383.49,391.30,370.27,,-3.48%,79.76K
252,"Jul 24, 2021",405.23,418.00,418.20,402.23,,-2.90%,64.12K
253,"Jul 23, 2021",417.35,416.52,426.62,386.63,,0.76%,79.10K
254,"Jul 22, 2021",414.20,376.85,415.00,368.83,,10.04%,108.53K
255,"Jul 21, 2021",376.41,349.44,398.48,339.28,,7.71%,99.12K
256,"Jul 20, 2021",349.48,339.17,360.25,310.33,,3.09%,87.92K
257,"Jul 19, 2021",339.00,378.80,379.32,335.18,,-10.57%,86.14K
258,"Jul 18, 2021",379.07,378.13,398.69,372.23,,0.17%,46.94K
259,"Jul 17, 2021",378.42,368.26,387.41,365.57,,3.01%,44.46K
260,"Jul 16, 2021",367.38,398.03,409.55,367.38,,-8.01%,60.85K
261,"Jul 15, 2021",399.37,409.96,431.35,393.25,,-2.77%,142.49K
262,"Jul 14, 2021",410.76,387.58,424.16,360.28,,6.19%,95.78K
263,"Jul 13, 2021",386.83,412.58,417.05,381.23,,-6.53%,55.47K
264,"Jul 12, 2021",413.86,436.30,443.64,402.21,,-4.88%,62.73K
265,"Jul 11, 2021",435.08,423.38,456.65,414.68,,2.87%,78.27K
266,"Jul 10, 2021",422.94,434.18,448.77,409.69,,-2.54%,94.42K
267,"Jul 09, 2021",433.97,391.00,440.81,386.93,,4.47%,120.48K
268,"Jul 08, 2021",415.39,438.00,445.19,409.58,,-5.93%,139.45K
269,"Jul 07, 2021",441.59,480.94,482.58,434.47,,-12.03%,150.19K
270,"Jul 06, 2021",502.00,492.60,526.28,492.60,,1.83%,358.15K
271,"Jul 05, 2021",493.00,443.57,495.90,421.52,,11.02%,320.48K
272,"Jul 04, 2021",444.05,406.79,462.80,406.79,,18.20%,178.07K
273,"Jul 03, 2021",375.69,369.99,382.18,365.81,,1.97%,137.07K
274,"Jul 02, 2021",368.43,331.92,368.43,310.86,,10.60%,137.31K
275,"Jul 01, 2021",333.12,338.28,347.36,324.08,,-1.33%,153.03K
